order_id,product_category,Status Pesanan,Alasan Pembatalan,Opsi Pengiriman,Waktu Pesanan Dibuat,Metode Pembayaran,Jumlah,Returned quantity,Total Diskon,Total Berat,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Total Pembayaran,Perkiraan Ongkos Kirim,Kota/Kabupaten,Provinsi,source_month,source_year,month_num,order_date,order_year,order_month,order_day,order_dayofweek,order_hour,is_weekend,revenue_per_item
ORD_0003552,Seal / Baut / Roof,Selesai,Tidak Ada,Hemat Kargo-SPX Hemat,2023-12-01 00:33:00,COD (Bayar di Tempat),2,0.0,0.0,600,7.5,0.0,45200,7.5,KOTA CILEGON,BANTEN,December,2023,12,2023-12-01,2023,12,1,4,0,0,22600.0
ORD_0003553,Other,Selesai,Tidak Ada,Instant (Versi Lama)-SPX Instant (Versi Lama),2023-12-01 05:28:00,SPayLater,1,0.0,0.0,6950,43.0,0.0,96445,43.0,KOTA JAKARTA BARAT,DKI JAKARTA,December,2023,12,2023-12-01,2023,12,1,4,5,0,96445.0
ORD_0003553,Tempat Nasi,Selesai,Tidak Ada,Instant (Versi Lama)-SPX Instant (Versi Lama),2023-12-01 05:28:00,SPayLater,1,0.0,0.0,6950,43.0,0.0,96445,43.0,KOTA JAKARTA BARAT,DKI JAKARTA,December,2023,12,2023-12-01,2023,12,1,4,5,0,96445.0
ORD_0003553,Mangkok,Selesai,Tidak Ada,Instant (Versi Lama)-SPX Instant (Versi Lama),2023-12-01 05:28:00,SPayLater,1,0.0,0.0,6950,43.0,0.0,96445,43.0,KOTA JAKARTA BARAT,DKI JAKARTA,December,2023,12,2023-12-01,2023,12,1,4,5,0,96445.0
ORD_0003553,Peralatan Makan,Selesai,Tidak Ada,Instant (Versi Lama)-SPX Instant (Versi Lama),2023-12-01 05:28:00,SPayLater,1,0.0,0.0,6950,43.0,0.0,96445,43.0,KOTA JAKARTA BARAT,DKI JAKARTA,December,2023,12,2023-12-01,2023,12,1,4,5,0,96445.0
ORD_0003555,Celengan,Selesai,Tidak Ada,Hemat Kargo-SPX Hemat,2023-12-01 10:01:00,SeaBank Bayar Instan,1,0.0,0.0,500,0.0,8.0,17493,8.0,KOTA JAKARTA TIMUR,DKI JAKARTA,December,2023,12,2023-12-01,2023,12,1,4,10,0,17493.0
ORD_0003556,Other,Selesai,Tidak Ada,Hemat Kargo-SPX Hemat,2023-12-01 13:19:00,Saldo ShopeePay,1,0.0,0.0,590,8.0,0.0,32925,8.0,KAB. TANGERANG,BANTEN,December,2023,12,2023-12-01,2023,12,1,4,13,0,32925.0
ORD_0003556,Celengan,Selesai,Tidak Ada,Hemat Kargo-SPX Hemat,2023-12-01 13:19:00,Saldo ShopeePay,1,0.0,0.0,590,8.0,0.0,32925,8.0,KAB. TANGERANG,BANTEN,December,2023,12,2023-12-01,2023,12,1,4,13,0,32925.0
ORD_0003557,Celengan,Selesai,Tidak Ada,Hemat Kargo-SPX Hemat,2023-12-01 14:33:00,SPayLater,1,0.0,0.0,1000,8.0,0.0,48468,8.0,KOTA JAKARTA UTARA,DKI JAKARTA,December,2023,12,2023-12-01,2023,12,1,4,14,0,48468.0
ORD_0003557,Celengan,Selesai,Tidak Ada,Hemat Kargo-SPX Hemat,2023-12-01 14:33:00,SPayLater,1,0.0,0.0,1000,8.0,0.0,48468,8.0,KOTA JAKARTA UTARA,DKI JAKARTA,December,2023,12,2023-12-01,2023,12,1,4,14,0,48468.0
ORD_0003558,Aksesoris ID Card,Selesai,Tidak Ada,Hemat Kargo-SPX Hemat,2023-12-01 17:01:00,COD (Bayar di Tempat),1,0.0,0.0,50,7.5,30.0,20524,37.5,KAB. OGAN KOMERING ILIR,SUMATERA SELATAN,December,2023,12,2023-12-01,2023,12,1,4,17,0,20524.0
ORD_0003559,Celengan,Selesai,Tidak Ada,Hemat Kargo-SPX Hemat,2023-12-01 17:49:00,COD (Bayar di Tempat),2,0.0,0.0,1000,0.0,10.0,42184,10.0,KOTA BANDUNG,JAWA BARAT,December,2023,12,2023-12-01,2023,12,1,4,17,0,21092.0
ORD_0003561,Celengan,Selesai,Tidak Ada,Hemat Kargo-SPX Hemat,2023-12-01 19:46:00,SeaBank Bayar Instan,1,0.0,0.0,500,0.0,8.0,15850,8.0,KAB. TANGERANG,BANTEN,December,2023,12,2023-12-01,2023,12,1,4,19,0,15850.0
ORD_0003562,Celengan,Selesai,Tidak Ada,Hemat Kargo-SPX Hemat,2023-12-01 21:42:00,Online Payment,1,0.0,0.0,500,8.0,0.0,26900,8.0,KOTA JAKARTA UTARA,DKI JAKARTA,December,2023,12,2023-12-01,2023,12,1,4,21,0,26900.0
ORD_0003563,Rak / Rak Serbaguna,Selesai,Tidak Ada,Hemat Kargo-SPX Hemat,2023-12-01 22:19:00,COD (Bayar di Tempat),1,0.0,0.0,700,8.0,0.0,34280,8.0,KOTA JAKARTA BARAT,DKI JAKARTA,December,2023,12,2023-12-01,2023,12,1,4,22,0,34280.0
ORD_0003564,Celengan,Selesai,Tidak Ada,Hemat Kargo-SPX Hemat,2023-12-02 01:03:00,Saldo ShopeePay,1,0.0,0.0,500,8.0,0.0,28800,8.0,KOTA TANGERANG SELATAN,BANTEN,December,2023,12,2023-12-02,2023,12,2,5,1,1,28800.0
ORD_0003565,Mangkok Sambal / Saus,Selesai,Tidak Ada,Hemat Kargo-SPX Hemat,2023-12-02 11:02:00,COD (Bayar di Tempat),2,0.0,0.0,400,8.0,0.0,40520,8.0,KOTA JAKARTA PUSAT,DKI JAKARTA,December,2023,12,2023-12-02,2023,12,2,5,11,1,20260.0
ORD_0003566,Mangkok Sambal / Saus,Selesai,Tidak Ada,Reguler (Cashless)-SPX Standard,2023-12-02 11:44:00,COD (Bayar di Tempat),10,0.0,0.0,2000,106.0,20.0,267240,126.0,KOTA SAMARINDA,KALIMANTAN TIMUR,December,2023,12,2023-12-02,2023,12,2,5,11,1,26724.0
ORD_0003567,Nampan / Tray,Selesai,Tidak Ada,Instant (Versi Lama)-SPX Instant (Versi Lama),2023-12-02 11:45:00,Saldo ShopeePay,1,0.0,0.0,2000,65.0,0.0,143342,65.0,KOTA TANGERANG SELATAN,BANTEN,December,2023,12,2023-12-02,2023,12,2,5,11,1,143342.0
ORD_0003569,Celengan,Selesai,Tidak Ada,Hemat Kargo-SPX Hemat,2023-12-02 19:12:00,Saldo ShopeePay,1,0.0,0.0,500,22.5,0.0,42428,22.5,KAB. BATANG,JAWA TENGAH,December,2023,12,2023-12-02,2023,12,2,5,19,1,42428.0
ORD_0003570,Mangkok Sambal / Saus,Selesai,Tidak Ada,Hemat Kargo-SPX Hemat,2023-12-02 20:48:00,SeaBank Bayar Instan,1,0.0,0.0,200,0.0,8.0,16000,8.0,KAB. BOGOR,JAWA BARAT,December,2023,12,2023-12-02,2023,12,2,5,20,1,16000.0
ORD_0003571,Celengan,Selesai,Tidak Ada,Hemat Kargo-SPX Hemat,2023-12-03 06:44:00,Saldo ShopeePay,1,0.0,0.0,500,0.0,8.0,16900,8.0,KOTA JAKARTA SELATAN,DKI JAKARTA,December,2023,12,2023-12-03,2023,12,3,6,6,1,16900.0
ORD_0003572,Rak / Rak Serbaguna,Selesai,Tidak Ada,Hemat Kargo-J&T Economy,2023-12-03 06:57:00,COD (Bayar di Tempat),1,0.0,0.0,1700,132.0,0.0,204880,132.0,KAB. BERAU,KALIMANTAN TIMUR,December,2023,12,2023-12-03,2023,12,3,6,6,1,204880.0
ORD_0003573,Celengan,Selesai,Tidak Ada,Hemat Kargo-SPX Hemat,2023-12-03 09:21:00,COD (Bayar di Tempat),1,0.0,0.0,500,0.0,10.0,18179,10.0,KAB. KARAWANG,JAWA BARAT,December,2023,12,2023-12-03,2023,12,3,6,9,1,18179.0
